phi0_deg,theta0_deg,omega0_deg_s,y_m
0.000000,2.000000,-0.000000,803.125351
5.000000,1.992389,-0.136904,576.206004
10.000000,1.969616,-0.272766,345.054315
15.000000,1.931852,-0.406552,111.777802
20.000000,1.879385,-0.537244,-121.534919
25.000000,1.812616,-0.663847,-352.851633
30.000000,1.732051,-0.785398,-580.229505
35.000000,1.638304,-0.900972,-801.842109
40.000000,1.532089,-1.009688,-1015.999480
45.000000,1.414214,-1.110721,-1221.160712
50.000000,1.285575,-1.203300,-1415.939096
55.000000,1.147153,-1.286721,-1599.100325
60.000000,1.000000,-1.360350,-1769.554691
65.000000,0.845237,-1.423625,-1926.344564
70.000000,0.684040,-1.476066,-2068.628686
75.000000,0.517638,-1.517273,-2195.664925
80.000000,0.347296,-1.546932,-2306.793181
85.000000,0.174311,-1.564819,-2401.420031
90.000000,0.000000,-1.570796,-2479.006509
95.000000,-0.174311,-1.564819,-2539.060195
100.000000,-0.347296,-1.546932,-2581.132400
105.000000,-0.517638,-1.517273,-2604.820914
110.000000,-0.684040,-1.476066,-2609.778355
115.000000,-0.845237,-1.423625,-2595.725741
120.000000,-1.000000,-1.360350,-2562.470539
125.000000,-1.147153,-1.286721,-2509.928049
130.000000,-1.285575,-1.203300,-2438.144704
135.000000,-1.414214,-1.110721,-2347.321626
140.000000,-1.532089,-1.009688,-2237.836676
145.000000,-1.638304,-0.900972,-2110.263195
150.000000,-1.732051,-0.785398,-1965.383787
155.000000,-1.812616,-0.663847,-1804.197712
160.000000,-1.879385,-0.537244,-1627.920837
165.000000,-1.931852,-0.406552,-1437.977519
170.000000,-1.969616,-0.272766,-1235.984339
175.000000,-1.992389,-0.136904,-1023.726143
180.000000,-2.000000,-0.000000,-803.125351
185.000000,-1.992389,0.136904,-576.206004
190.000000,-1.969616,0.272766,-345.054315
195.000000,-1.931852,0.406552,-111.777802
200.000000,-1.879385,0.537244,121.534919
205.000000,-1.812616,0.663847,352.851633
210.000000,-1.732051,0.785398,580.229505
215.000000,-1.638304,0.900972,801.842109
220.000000,-1.532089,1.009688,1015.999480
225.000000,-1.414214,1.110721,1221.160712
230.000000,-1.285575,1.203300,1415.939096
235.000000,-1.147153,1.286721,1599.100325
240.000000,-1.000000,1.360350,1769.554691
245.000000,-0.845237,1.423625,1926.344564
250.000000,-0.684040,1.476066,2068.628686
255.000000,-0.517638,1.517273,2195.664925
260.000000,-0.347296,1.546932,2306.793181
265.000000,-0.174311,1.564819,2401.420031
270.000000,-0.000000,1.570796,2479.006509
275.000000,0.174311,1.564819,2539.060195
280.000000,0.347296,1.546932,2581.132400
285.000000,0.517638,1.517273,2604.820914
290.000000,0.684040,1.476066,2609.778355
295.000000,0.845237,1.423625,2595.725741
300.000000,1.000000,1.360350,2562.470539
305.000000,1.147153,1.286721,2509.928049
310.000000,1.285575,1.203300,2438.144704
315.000000,1.414214,1.110721,2347.321626
320.000000,1.532089,1.009688,2237.836676
325.000000,1.638304,0.900972,2110.263195
330.000000,1.732051,0.785398,1965.383787
335.000000,1.812616,0.663847,1804.197712
340.000000,1.879385,0.537244,1627.920837
345.000000,1.931852,0.406552,1437.977519
350.000000,1.969616,0.272766,1235.984339
355.000000,1.992389,0.136904,1023.726143
